run_id,method,dimension,dataset_id,heldout_batch,seed,metric,population,value,status,reason,implementation,comparison_eligible,n_labels_tested
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,macro_f1,query,0.9070994420901676,computed,"Full-reference distance-weighted 15NN, Minkowski p=2; labels=unique(query truth); zero_division=0",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,balanced_accuracy,query,0.894437529923457,computed,"Mean recall over query true classes, including classes absent from reference",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,trustworthiness,reference,0.9126155615042848,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,pseudotime_smoothness,reference,0.8783490812602605,computed,Original NaN-excluded annotated-cell population (2629/22779 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,trustworthiness,query,0.9505453088691838,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,pseudotime_smoothness,query,,not_applicable,Original annotated-cell subset has fewer than 16 cells for fixed pseudotime k15,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,trustworthiness,joint,0.934830948264644,computed,"Cached full-source PCA50; Euclidean k15; frozen shared IDs, seed40, maximum6000",,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,pseudotime_smoothness,joint,0.8783490812602605,computed,Original NaN-excluded annotated-cell population (2629/33506 cells); biovalid_ref_query_joint.pseudotime_smoothness k15; original first-neighbor removal,,True,
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__study,reference,0.0148022201983574,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=10; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,10.0
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,within_label_silhouette__sample_ID,reference,0.0148022201983574,computed,"Original within_label_silhouette helper; cell-count weighting; labels_tested=10; shared original seed0 per-label cap8000; raw covariate association, not uniformly higher-is-better",scripts/biovalid_ref_query_joint.py::within_label_silhouette,True,10.0
