run_id,method,dimension,dataset_id,heldout_batch,seed,stochastic
historical__solar_orthogonal__d128__immune_cell_human__10X__s40,solar_orthogonal,128,immune_cell_human,10X,40,True
historical__solar_orthogonal__d128__immune_cell_human__10X__s41,solar_orthogonal,128,immune_cell_human,10X,41,True
historical__solar_orthogonal__d128__immune_cell_human__10X__s42,solar_orthogonal,128,immune_cell_human,10X,42,True
historical__solar_orthogonal__d128__immune_cell_human__10X__s43,solar_orthogonal,128,immune_cell_human,10X,43,True
historical__solar_orthogonal__d128__immune_cell_human__10X__s44,solar_orthogonal,128,immune_cell_human,10X,44,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s40,solar_orthogonal_uniq,128,immune_cell_human,10X,40,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s41,solar_orthogonal_uniq,128,immune_cell_human,10X,41,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s42,solar_orthogonal_uniq,128,immune_cell_human,10X,42,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s43,solar_orthogonal_uniq,128,immune_cell_human,10X,43,True
historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s44,solar_orthogonal_uniq,128,immune_cell_human,10X,44,True
historical__solar_none__d128__immune_cell_human__10X__s40,solar_none,128,immune_cell_human,10X,40,True
historical__solar_none__d128__immune_cell_human__10X__s41,solar_none,128,immune_cell_human,10X,41,True
historical__solar_none__d128__immune_cell_human__10X__s42,solar_none,128,immune_cell_human,10X,42,True
historical__solar_none__d128__immune_cell_human__10X__s43,solar_none,128,immune_cell_human,10X,43,True
historical__solar_none__d128__immune_cell_human__10X__s44,solar_none,128,immune_cell_human,10X,44,True
historical__frozen_reference_scvi__d30__immune_cell_human__10X__s40,frozen_reference_scvi,30,immune_cell_human,10X,40,True
historical__frozen_reference_scvi__d30__immune_cell_human__10X__s41,frozen_reference_scvi,30,immune_cell_human,10X,41,True
historical__frozen_reference_scvi__d30__immune_cell_human__10X__s42,frozen_reference_scvi,30,immune_cell_human,10X,42,True
historical__frozen_reference_scvi__d30__immune_cell_human__10X__s43,frozen_reference_scvi,30,immune_cell_human,10X,43,True
historical__frozen_reference_scvi__d30__immune_cell_human__10X__s44,frozen_reference_scvi,30,immune_cell_human,10X,44,True
historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s40,frozen_reference_scanvi,30,immune_cell_human,10X,40,True
historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s41,frozen_reference_scanvi,30,immune_cell_human,10X,41,True
historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s42,frozen_reference_scanvi,30,immune_cell_human,10X,42,True
historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s43,frozen_reference_scanvi,30,immune_cell_human,10X,43,True
historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s44,frozen_reference_scanvi,30,immune_cell_human,10X,44,True
historical__unintegrated_pca_matched__d40__immune_cell_human__10X__s0,unintegrated_pca_matched,40,immune_cell_human,10X,0,False
historical__sclsc_refonly__d16__immune_cell_human__10X__s40,sclsc_refonly,16,immune_cell_human,10X,40,True
historical__sclsc_refonly__d16__immune_cell_human__10X__s41,sclsc_refonly,16,immune_cell_human,10X,41,True
historical__sclsc_refonly__d16__immune_cell_human__10X__s42,sclsc_refonly,16,immune_cell_human,10X,42,True
historical__sclsc_refonly__d16__immune_cell_human__10X__s43,sclsc_refonly,16,immune_cell_human,10X,43,True
historical__sclsc_refonly__d16__immune_cell_human__10X__s44,sclsc_refonly,16,immune_cell_human,10X,44,True
historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s40,solar_orthogonal,128,immune_cell_human,Oetjen_A,40,True
historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s41,solar_orthogonal,128,immune_cell_human,Oetjen_A,41,True
