method,dimension,dataset_id,heldout_batch,metric,population,mean,sd,sd_status,n_seeds_expected,n_seeds_present,n_seeds_finite,n_seeds_comparable,numeric_seed_coverage,seed_coverage,source_statuses,status,reason,run_ids,block
frozen_reference_scanvi,30,immune_cell_human,10X,ARI_cluster/label,joint,0.33381621736925321,0.016788378230432961,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s44,common30
frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,ARI_cluster/label,joint,0.35215055500443693,0.023386944690270091,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s44,common30
frozen_reference_scanvi,30,immune_cell_human,Villani,ARI_cluster/label,joint,0.36864400777553213,0.020018381824339366,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s44,common30
frozen_reference_scanvi,30,lung_atlas,3,ARI_cluster/label,joint,0.49496647060810661,0.025856993583793113,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__3__s40|historical__frozen_reference_scanvi__d30__lung_atlas__3__s41|historical__frozen_reference_scanvi__d30__lung_atlas__3__s42|historical__frozen_reference_scanvi__d30__lung_atlas__3__s43|historical__frozen_reference_scanvi__d30__lung_atlas__3__s44,common30
frozen_reference_scanvi,30,lung_atlas,4,ARI_cluster/label,joint,0.49430500263232224,0.01182726129789714,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__4__s40|historical__frozen_reference_scanvi__d30__lung_atlas__4__s41|historical__frozen_reference_scanvi__d30__lung_atlas__4__s42|historical__frozen_reference_scanvi__d30__lung_atlas__4__s43|historical__frozen_reference_scanvi__d30__lung_atlas__4__s44,common30
frozen_reference_scanvi,30,lung_atlas,B1,ARI_cluster/label,joint,0.49855655731924131,0.016758940566104122,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__B1__s40|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s41|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s42|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s43|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s44,common30
frozen_reference_scanvi,30,pancreas,fluidigmc1,ARI_cluster/label,joint,0.31851322414490479,0.024331327179140494,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s40|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s41|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s42|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s43|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s44,common30
frozen_reference_scanvi,30,pancreas,inDrop2,ARI_cluster/label,joint,0.32333853493533354,0.013630047015272364,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s40|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s41|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s42|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s43|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s44,common30
frozen_reference_scanvi,30,pancreas,inDrop3,ARI_cluster/label,joint,0.31392024936165591,0.015879653667062787,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s40|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s41|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s42|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s43|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s44,common30
frozen_reference_scanvi,30,immune_cell_human,10X,ASW_label,joint,0.65564890205860138,0.0075364800558046421,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s44,common30
