comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.28150690336966555,0.018272460383279007,0.27676810104304927,0.013156716574886675,0.004738802326616276,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.2750620702026686,0.009663892584417624,0.28589799405995203,0.029305806588806355,-0.010835923857283436,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Villani,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.29721130497612402,0.0078103319216991591,0.30877668775839984,0.010722629592382071,-0.011565382782275813,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,3,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.51202834616406601,0.022535155461707292,0.50655019982660332,0.032677891969490183,0.005478146337462686,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,4,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.50589598910155842,0.031711388121468717,0.50375267600942464,0.029761543475561467,0.0021433130921337806,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,B1,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.52066333900337736,0.029189897653636922,0.47934191963880013,0.025280322639288429,0.041321419364577228,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.28062191685760507,0.013248869831873697,0.27299489626524459,0.016495429432490695,0.0076270205923604784,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop2,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.25841125691443434,0.023318863188963011,0.27130413325969566,0.014095856959500998,-0.012892876345261317,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,inDrop3,ARI_cluster/label,joint,sclsc_refonly,30,sclsc_refonly,16,0.24975531914074636,0.018405316850274377,0.24852455019894082,0.016558926273300471,0.0012307689418055434,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,10X,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.92556675076484685,0.0021306391484114903,0.92849270701408382,0.0029674420847805882,-0.0029259562492369717,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Oetjen_A,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.94023591279983521,0.0014829953504655294,0.94216927289962771,0.001511798149617065,-0.0019333600997925027,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,immune_cell_human,Villani,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.94192668795585632,0.00330354556367726,0.94183509945869448,0.0020935580799981831,9.158849716184303e-05,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,3,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.96314551234245305,0.0015755374972741261,0.96344426274299622,0.0013914152429540631,-0.00029875040054316848,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,4,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.94360144138336177,0.00069687020329313953,0.94489846825599666,0.001451458804609214,-0.0012970268726348877,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,lung_atlas,B1,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.9522801518440247,0.00095076317367022965,0.9533991396427155,0.0017836808414242334,-0.0011189877986907959,5,5,5,5,True,computed,
sclsc30_minus_sclsc16,E2,pancreas,fluidigmc1,ASW_label,joint,sclsc_refonly,30,sclsc_refonly,16,0.96460464000701907,0.0011032720228086042,0.96850215196609502,0.0014686865355346811,-0.0038975119590759499,5,5,5,5,True,computed,
