dataset_id,heldout_batch,metric,population,repeated_mean,repeated_sd,repeated_sd_status,repeated_n_seeds_expected,repeated_n_seeds_present,repeated_n_seeds_finite,repeated_n_seeds_comparable,repeated_numeric_seed_coverage,repeated_seed_coverage,repeated_source_statuses,repeated_status,repeated_reason,repeated_run_ids,unique_mean,unique_sd,unique_sd_status,unique_n_seeds_expected,unique_n_seeds_present,unique_n_seeds_finite,unique_n_seeds_comparable,unique_numeric_seed_coverage,unique_seed_coverage,unique_source_statuses,unique_status,unique_reason,unique_run_ids,none_mean,none_sd,none_sd_status,none_n_seeds_expected,none_n_seeds_present,none_n_seeds_finite,none_n_seeds_comparable,none_numeric_seed_coverage,none_seed_coverage,none_source_statuses,none_status,none_reason,none_run_ids,repeated_minus_none_difference,repeated_minus_none_valid_batch,repeated_minus_none_status,repeated_minus_none_reason,repeated_minus_unique_difference,repeated_minus_unique_valid_batch,repeated_minus_unique_status,repeated_minus_unique_reason,dimension
immune_cell_human,10X,ARI_cluster/label,joint,0.34565147942542329,0.016989634005955555,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__immune_cell_human__10X__s40|historical__solar_orthogonal__d128__immune_cell_human__10X__s41|historical__solar_orthogonal__d128__immune_cell_human__10X__s42|historical__solar_orthogonal__d128__immune_cell_human__10X__s43|historical__solar_orthogonal__d128__immune_cell_human__10X__s44,0.33586217423615539,0.016126157104278154,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s40|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s41|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s42|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s43|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s44,0.3513798944683601,0.012725192460408957,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__immune_cell_human__10X__s40|historical__solar_none__d128__immune_cell_human__10X__s41|historical__solar_none__d128__immune_cell_human__10X__s42|historical__solar_none__d128__immune_cell_human__10X__s43|historical__solar_none__d128__immune_cell_human__10X__s44,-0.0057284150429368075,True,computed,,0.009789305189267905,True,computed,,128
immune_cell_human,Oetjen_A,ARI_cluster/label,joint,0.37692893500819169,0.024854384256617682,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s40|historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s41|historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s42|historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s43|historical__solar_orthogonal__d128__immune_cell_human__Oetjen_A__s44,0.36317885304673181,0.017236301049937463,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s40|historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s41|historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s42|historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s43|historical__solar_orthogonal_uniq__d128__immune_cell_human__Oetjen_A__s44,0.36173009748913609,0.024289762331018781,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__immune_cell_human__Oetjen_A__s40|historical__solar_none__d128__immune_cell_human__Oetjen_A__s41|historical__solar_none__d128__immune_cell_human__Oetjen_A__s42|historical__solar_none__d128__immune_cell_human__Oetjen_A__s43|historical__solar_none__d128__immune_cell_human__Oetjen_A__s44,0.015198837519055597,True,computed,,0.013750081961459881,True,computed,,128
immune_cell_human,Villani,ARI_cluster/label,joint,0.39136968281566925,0.010219305150696609,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__immune_cell_human__Villani__s40|historical__solar_orthogonal__d128__immune_cell_human__Villani__s41|historical__solar_orthogonal__d128__immune_cell_human__Villani__s42|historical__solar_orthogonal__d128__immune_cell_human__Villani__s43|historical__solar_orthogonal__d128__immune_cell_human__Villani__s44,0.38083646031093277,0.012872596765586559,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s40|historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s41|historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s42|historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s43|historical__solar_orthogonal_uniq__d128__immune_cell_human__Villani__s44,0.3958331559549676,0.024550013551551151,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__immune_cell_human__Villani__s40|historical__solar_none__d128__immune_cell_human__Villani__s41|historical__solar_none__d128__immune_cell_human__Villani__s42|historical__solar_none__d128__immune_cell_human__Villani__s43|historical__solar_none__d128__immune_cell_human__Villani__s44,-0.0044634731392983462,True,computed,,0.010533222504736484,True,computed,,128
lung_atlas,3,ARI_cluster/label,joint,0.48234527733578075,0.019113656276611796,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__lung_atlas__3__s40|historical__solar_orthogonal__d128__lung_atlas__3__s41|historical__solar_orthogonal__d128__lung_atlas__3__s42|historical__solar_orthogonal__d128__lung_atlas__3__s43|historical__solar_orthogonal__d128__lung_atlas__3__s44,0.47542946372109557,0.011105658732917804,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__lung_atlas__3__s40|historical__solar_orthogonal_uniq__d128__lung_atlas__3__s41|historical__solar_orthogonal_uniq__d128__lung_atlas__3__s42|historical__solar_orthogonal_uniq__d128__lung_atlas__3__s43|historical__solar_orthogonal_uniq__d128__lung_atlas__3__s44,0.48082406714855103,0.0032705004224465356,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__lung_atlas__3__s40|historical__solar_none__d128__lung_atlas__3__s41|historical__solar_none__d128__lung_atlas__3__s42|historical__solar_none__d128__lung_atlas__3__s43|historical__solar_none__d128__lung_atlas__3__s44,0.0015212101872297268,True,computed,,0.0069158136146851845,True,computed,,128
lung_atlas,4,ARI_cluster/label,joint,0.5092975721994446,0.012151768988122168,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__lung_atlas__4__s40|historical__solar_orthogonal__d128__lung_atlas__4__s41|historical__solar_orthogonal__d128__lung_atlas__4__s42|historical__solar_orthogonal__d128__lung_atlas__4__s43|historical__solar_orthogonal__d128__lung_atlas__4__s44,0.50421009555673169,0.018652419921656671,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__lung_atlas__4__s40|historical__solar_orthogonal_uniq__d128__lung_atlas__4__s41|historical__solar_orthogonal_uniq__d128__lung_atlas__4__s42|historical__solar_orthogonal_uniq__d128__lung_atlas__4__s43|historical__solar_orthogonal_uniq__d128__lung_atlas__4__s44,0.4960223734553823,0.014895968530479203,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__lung_atlas__4__s40|historical__solar_none__d128__lung_atlas__4__s41|historical__solar_none__d128__lung_atlas__4__s42|historical__solar_none__d128__lung_atlas__4__s43|historical__solar_none__d128__lung_atlas__4__s44,0.0132751987440623,True,computed,,0.0050874766427129181,True,computed,,128
lung_atlas,B1,ARI_cluster/label,joint,0.5177633990238919,0.0095335881518789113,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__lung_atlas__B1__s40|historical__solar_orthogonal__d128__lung_atlas__B1__s41|historical__solar_orthogonal__d128__lung_atlas__B1__s42|historical__solar_orthogonal__d128__lung_atlas__B1__s43|historical__solar_orthogonal__d128__lung_atlas__B1__s44,0.48256895222334506,0.010349106639578639,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s40|historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s41|historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s42|historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s43|historical__solar_orthogonal_uniq__d128__lung_atlas__B1__s44,0.47886030918890388,0.017130396303279755,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__lung_atlas__B1__s40|historical__solar_none__d128__lung_atlas__B1__s41|historical__solar_none__d128__lung_atlas__B1__s42|historical__solar_none__d128__lung_atlas__B1__s43|historical__solar_none__d128__lung_atlas__B1__s44,0.038903089834988025,True,computed,,0.035194446800546841,True,computed,,128
pancreas,fluidigmc1,ARI_cluster/label,joint,0.36010857885232922,0.0083000808421022244,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__pancreas__fluidigmc1__s40|historical__solar_orthogonal__d128__pancreas__fluidigmc1__s41|historical__solar_orthogonal__d128__pancreas__fluidigmc1__s42|historical__solar_orthogonal__d128__pancreas__fluidigmc1__s43|historical__solar_orthogonal__d128__pancreas__fluidigmc1__s44,0.32905524204508774,0.012930615617257793,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s40|historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s41|historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s42|historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s43|historical__solar_orthogonal_uniq__d128__pancreas__fluidigmc1__s44,0.32307335726162068,0.01151187881222686,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__pancreas__fluidigmc1__s40|historical__solar_none__d128__pancreas__fluidigmc1__s41|historical__solar_none__d128__pancreas__fluidigmc1__s42|historical__solar_none__d128__pancreas__fluidigmc1__s43|historical__solar_none__d128__pancreas__fluidigmc1__s44,0.037035221590708545,True,computed,,0.031053336807241483,True,computed,,128
pancreas,inDrop2,ARI_cluster/label,joint,0.33639942613933033,0.011614988078899753,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__pancreas__inDrop2__s40|historical__solar_orthogonal__d128__pancreas__inDrop2__s41|historical__solar_orthogonal__d128__pancreas__inDrop2__s42|historical__solar_orthogonal__d128__pancreas__inDrop2__s43|historical__solar_orthogonal__d128__pancreas__inDrop2__s44,0.31473637914326147,0.015930019624883412,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s40|historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s41|historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s42|historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s43|historical__solar_orthogonal_uniq__d128__pancreas__inDrop2__s44,0.32553068045514238,0.013235706844893501,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__pancreas__inDrop2__s40|historical__solar_none__d128__pancreas__inDrop2__s41|historical__solar_none__d128__pancreas__inDrop2__s42|historical__solar_none__d128__pancreas__inDrop2__s43|historical__solar_none__d128__pancreas__inDrop2__s44,0.010868745684187942,True,computed,,0.021663046996068858,True,computed,,128
pancreas,inDrop3,ARI_cluster/label,joint,0.32014379506427171,0.024636841054484101,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__pancreas__inDrop3__s40|historical__solar_orthogonal__d128__pancreas__inDrop3__s41|historical__solar_orthogonal__d128__pancreas__inDrop3__s42|historical__solar_orthogonal__d128__pancreas__inDrop3__s43|historical__solar_orthogonal__d128__pancreas__inDrop3__s44,0.32763772797601914,0.015472165585617639,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s40|historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s41|historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s42|historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s43|historical__solar_orthogonal_uniq__d128__pancreas__inDrop3__s44,0.31781835629956368,0.018282739472077508,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__pancreas__inDrop3__s40|historical__solar_none__d128__pancreas__inDrop3__s41|historical__solar_none__d128__pancreas__inDrop3__s42|historical__solar_none__d128__pancreas__inDrop3__s43|historical__solar_none__d128__pancreas__inDrop3__s44,0.0023254387647080321,True,computed,,-0.0074939329117474363,True,computed,,128
immune_cell_human,10X,ASW_label,joint,0.82437545657157896,0.00094227577074399609,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal__d128__immune_cell_human__10X__s40|historical__solar_orthogonal__d128__immune_cell_human__10X__s41|historical__solar_orthogonal__d128__immune_cell_human__10X__s42|historical__solar_orthogonal__d128__immune_cell_human__10X__s43|historical__solar_orthogonal__d128__immune_cell_human__10X__s44,0.7949806928634644,0.0014056427954219394,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s40|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s41|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s42|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s43|historical__solar_orthogonal_uniq__d128__immune_cell_human__10X__s44,0.8030302166938782,0.0018115479725518858,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__solar_none__d128__immune_cell_human__10X__s40|historical__solar_none__d128__immune_cell_human__10X__s41|historical__solar_none__d128__immune_cell_human__10X__s42|historical__solar_none__d128__immune_cell_human__10X__s43|historical__solar_none__d128__immune_cell_human__10X__s44,0.021345239877700761,True,computed,,0.029394763708114557,True,computed,,128
