comparison,table,metric,population,dataset_id,lhs_mean,rhs_mean,difference,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
repeated_minus_none128,E3,ARI_cluster/label,joint,immune_cell_human,0.37131669908309473,0.36964771597082119,0.0016689831122734811,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,ARI_cluster/label,joint,lung_atlas,0.50313541618637247,0.48523558326427912,0.017899832922093351,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,ARI_cluster/label,joint,pancreas,0.33888393335197708,0.32214079800544221,0.016743135346534838,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,ASW_label,joint,immune_cell_human,0.84236515760421737,0.82095744013786331,0.021407717466354354,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,ASW_label,joint,lung_atlas,0.85022268096605946,0.82644114096959431,0.023781539996465078,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,ASW_label,joint,pancreas,0.91434710224469506,0.88632314403851831,0.02802395820617672,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,ASW_label/batch,joint,immune_cell_human,0.84475139545494626,0.85959317024568416,-0.01484177479073793,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,ASW_label/batch,joint,lung_atlas,0.81860272704641002,0.84561980524249813,-0.027017078196088118,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,ASW_label/batch,joint,pancreas,0.86303309551240159,0.87184048672147707,-0.0088073912090756625,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,NMI_cluster/label,joint,immune_cell_human,0.74775438222674195,0.74637185111609428,0.0013825311106477889,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,NMI_cluster/label,joint,lung_atlas,0.79920980367487326,0.79630141733641702,0.0029083863384561739,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,NMI_cluster/label,joint,pancreas,0.72709101260456721,0.71843077242266862,0.0086602401818985566,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,PCR_batch,joint,immune_cell_human,0.72039673862965825,0.70933713180608826,0.011059606823569953,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,PCR_batch,joint,lung_atlas,0.66818343646327705,0.60733605960694392,0.0608473768563332,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,PCR_batch,joint,pancreas,0.92583248814281782,0.92753000465801072,-0.0016975165151928613,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,balanced_accuracy,query,immune_cell_human,0.80213974591827419,0.79557186416424353,0.0065678817540307799,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,balanced_accuracy,query,lung_atlas,0.87442435271465568,0.87403822850650048,0.00038612420815527698,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,balanced_accuracy,query,pancreas,0.83680819756306268,0.83315730575061286,0.0036508918124497081,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,batchASW,joint,immune_cell_human,0.84475139545494626,0.85959317024568416,-0.01484177479073793,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,batchASW,joint,lung_atlas,0.81860272704641002,0.84561980524249813,-0.027017078196088118,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,batchASW,joint,pancreas,0.86303309551240159,0.87184048672147707,-0.0088073912090756625,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,cLISI,joint,immune_cell_human,0.99999999999999967,0.99999999999999967,0,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,cLISI,joint,lung_atlas,0.99999999999999967,0.99999999999999967,-3.7007434154171883e-17,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,cLISI,joint,pancreas,1,1,0,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,cell_cycle_conservation,joint,immune_cell_human,0.57320299488718873,0.6463657009395205,-0.073162706052331772,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,cell_cycle_conservation,joint,lung_atlas,0.72565319861179656,0.73592299519988147,-0.010269796588084986,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,cell_cycle_conservation,joint,pancreas,0.31730710353133268,0.3290968039773628,-0.011789700446030135,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,graph_conn,joint,immune_cell_human,0.98672733367352183,0.98553375804194199,0.0011935756315799202,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,
repeated_minus_none128,E3,graph_conn,joint,lung_atlas,0.77597160737668081,0.76327542974814833,0.01269617762853259,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,
repeated_minus_none128,E3,graph_conn,joint,pancreas,0.88561713356704097,0.90206994605597668,-0.016452812488935747,computed,3,3,3,1,15,15,15,15,15,15,pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,hvg_overlap,joint,immune_cell_human,NA,NA,NA,all_na,3,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
