comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason,excluded_dataset
repeated_minus_none128,E3,ARI_cluster/label,joint,0.42100967476917478,0.40368819063486072,0.017321484134314093,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,ARI_cluster/label,joint,0.35510031621753591,0.34589425698813181,0.0092060592294041597,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,ARI_cluster/label,joint,0.4372260576347336,0.42744164961755021,0.0097844080171834158,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,ASW_label,joint,0.88228489160537726,0.85638214250405631,0.025902749101320899,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,ASW_label,joint,0.87835612992445633,0.8536402920881907,0.024715837836265537,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,ASW_label,joint,0.84629391928513853,0.8236992905537287,0.022594628731409716,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,ASW_label/batch,joint,0.84081791127940586,0.8587301459819876,-0.017912234702581891,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,ASW_label/batch,joint,0.85389224548367393,0.86571682848358067,-0.011824582999906796,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,ASW_label/batch,joint,0.83167706125067808,0.85260648774409109,-0.020929426493413023,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,NMI_cluster/label,joint,0.76315040813972024,0.75736609487954287,0.005784313260177365,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
