comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
repeated_minus_none128,E3,ARI_cluster/label,joint,0.40444534954048139,0.39234136574684753,0.012103983793633888,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,ASW_label,joint,0.86897831360499067,0.84457390838199187,0.024404405222998717,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,ASW_label/batch,joint,0.84212907267125259,0.85901782073655308,-0.016888748065300569,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,NMI_cluster/label,joint,0.75801839950206096,0.75370134695839341,0.004317052543667506,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,PCR_batch,joint,0.77147088774525108,0.74806773202368104,0.023403155721570101,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,balanced_accuracy,query,0.83779076539866437,0.8342557994737857,0.0035349659248785879,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,batchASW,joint,0.84212907267125259,0.85901782073655308,-0.016888748065300569,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,cLISI,joint,0.99999999999999967,0.99999999999999967,-1.2335811384723961e-17,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,cell_cycle_conservation,joint,0.53872109901010601,0.57046183337225498,-0.031740734362148963,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
repeated_minus_none128,E3,graph_conn,joint,0.88277202487241457,0.88362637794868892,-0.000854353076274412,3,3,1,immune_cell_human|lung_atlas|pancreas,immune_cell_human|lung_atlas|pancreas,computed,9,9,9,1,45,45,45,45,45,45,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,
