comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
repeated_minus_none128,E3,immune_cell_human,10X,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.34565147942542329,0.016989634005955555,0.3513798944683601,0.012725192460408957,-0.0057284150429368075,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.37692893500819169,0.024854384256617682,0.36173009748913609,0.024289762331018781,0.015198837519055597,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.39136968281566925,0.010219305150696609,0.3958331559549676,0.024550013551551151,-0.0044634731392983462,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.48234527733578075,0.019113656276611796,0.48082406714855103,0.0032705004224465356,0.0015212101872297268,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.5092975721994446,0.012151768988122168,0.4960223734553823,0.014895968530479203,0.0132751987440623,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.5177633990238919,0.0095335881518789113,0.47886030918890388,0.017130396303279755,0.038903089834988025,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.36010857885232922,0.0083000808421022244,0.32307335726162068,0.01151187881222686,0.037035221590708545,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.33639942613933033,0.011614988078899753,0.32553068045514238,0.013235706844893501,0.010868745684187942,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,ARI_cluster/label,joint,solar_orthogonal,128,solar_none,128,0.32014379506427171,0.024636841054484101,0.31781835629956368,0.018282739472077508,0.0023254387647080321,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.82437545657157896,0.00094227577074399609,0.8030302166938782,0.0018115479725518858,0.021345239877700761,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.85142425894737239,0.001307269043594966,0.83194394111633296,0.0015876426345418388,0.019480317831039429,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.85129575729370122,0.0048245522632166943,0.82789816260337834,0.0068153286406001639,0.023397594690322876,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.85839753150939946,0.0053808437897274655,0.83440026640892029,0.0052168987023590964,0.02399726510047917,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.83525505065917971,0.0042861034284948588,0.81304512023925779,0.0047279291253047966,0.022209930419921919,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.857015460729599,0.0059876181285175205,0.83187803626060486,0.0052892699294962518,0.025137424468994141,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.92093665599822994,0.0060771178560189119,0.88791682124137883,0.010086630013399619,0.033019834756851107,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.91561114192008974,0.004737471207993494,0.8876026511192322,0.014218184556396554,0.028008490800857544,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,ASW_label,joint,solar_orthogonal,128,solar_none,128,0.9064935088157654,0.0049966196159810621,0.88344995975494389,0.010203848189302553,0.023043549060821511,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,ASW_label/batch,joint,solar_orthogonal,128,solar_none,128,0.84874880668052233,0.0017215041834766215,0.86428325783724136,0.0036136781898331543,-0.015534451156719031,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,ASW_label/batch,joint,solar_orthogonal,128,solar_none,128,0.84885033835748658,0.0027064063506771563,0.86279727532450001,0.0025509202302409755,-0.013946936967013435,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,ASW_label/batch,joint,solar_orthogonal,128,solar_none,128,0.83665504132682966,0.0037689374121660977,0.85169897757531099,0.0026824333760402095,-0.015043936248481327,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,ASW_label/batch,joint,solar_orthogonal,128,solar_none,128,0.81600404455666165,0.0040381855441317741,0.84184719539115616,0.0024967158884481176,-0.02584315083449451,5,5,5,5,True,computed,
