claim_id,doc,location,printed,kind,spec
fig-0001,si,Figure S1,1,non_result,"{""note"": ""figure number""}"
fig-0002,si,Figure S1,0.35,non_result,"{""note"": ""plot styling (point alpha); not a result""}"
fig-0003,si,Figure S1,2,non_result,"{""note"": ""panel titles inDrop 2 / inDrop 3""}"
fig-0004,si,Figure S1,3,non_result,"{""note"": ""panel titles inDrop 2 / inDrop 3""}"
fig-0005,si,Figure S1,1,non_result,"{""note"": ""panel title Fluidigm C1""}"
fig-0006,si,Figure S1,10,non_result,"{""note"": ""panel titles 10X, Lung / 3, Lung / 4, B1""}"
fig-0007,si,Figure S1,3,non_result,"{""note"": ""panel titles 10X, Lung / 3, Lung / 4, B1""}"
fig-0008,si,Figure S1,4,non_result,"{""note"": ""panel titles 10X, Lung / 3, Lung / 4, B1""}"
fig-0009,si,Figure S1,1,non_result,"{""note"": ""panel titles 10X, Lung / 3, Lung / 4, B1""}"
fig-0010,si,Figure S1,128,non_result,"{""note"": ""128-dimensional repeated-anchor SOLAR; UMAP from model-attachment embeddings, not recomputed""}"
fig-0011,si,Figure S1,40,non_result,"{""note"": ""seed 40 of the released fits shown; UMAP not recomputed from the released tables""}"
fig-0012,si,Figure S1,nine real held-out batches; joint reference and query cells,assertion,"{""check"": ""fig_s1_coordinates_match_splits""}"
fig-0013,si,Figure S2B,0.99,confusion,"{""pred"": ""CD14+ Monocytes"", ""true"": ""CD14+ Monocytes""}"
fig-0014,si,Figure S2B,0.01,confusion,"{""pred"": ""CD16+ Monocytes"", ""true"": ""CD14+ Monocytes""}"
fig-0015,si,Figure S2B,0.00,confusion,"{""pred"": ""Monocyte-derived dendritic cells"", ""true"": ""CD14+ Monocytes""}"
fig-0016,si,Figure S2B,0.00,confusion,"{""pred"": ""Plasmacytoid dendritic cells"", ""true"": ""CD14+ Monocytes""}"
fig-0017,si,Figure S2B,0.97,confusion,"{""pred"": ""CD14+ Monocytes"", ""true"": ""CD16+ Monocytes""}"
fig-0018,si,Figure S2B,0.03,confusion,"{""pred"": ""CD16+ Monocytes"", ""true"": ""CD16+ Monocytes""}"
fig-0019,si,Figure S2B,0.00,confusion,"{""pred"": ""Monocyte-derived dendritic cells"", ""true"": ""CD16+ Monocytes""}"
fig-0020,si,Figure S2B,0.00,confusion,"{""pred"": ""Plasmacytoid dendritic cells"", ""true"": ""CD16+ Monocytes""}"
fig-0021,si,Figure S2B,0.30,confusion,"{""pred"": ""CD14+ Monocytes"", ""true"": ""Monocyte-derived dendritic cells""}"
