claim_id,doc,location,printed,kind,spec
Table S1-00001,si,Table S1,"22,779",composition,"{""batch"": ""10X"", ""dataset"": ""immune_cell_human"", ""field"": ""n_reference""}"
Table S1-00002,si,Table S1,"10,727",composition,"{""batch"": ""10X"", ""dataset"": ""immune_cell_human"", ""field"": ""n_query""}"
Table S1-00003,si,Table S1,16,composition,"{""batch"": ""10X"", ""dataset"": ""immune_cell_human"", ""field"": ""n_celltypes_reference""}"
Table S1-00004,si,Table S1,12,composition,"{""batch"": ""10X"", ""dataset"": ""immune_cell_human"", ""field"": ""n_celltypes_query""}"
Table S1-00005,si,Table S1,1.0,composition,"{""batch"": ""10X"", ""dataset"": ""immune_cell_human"", ""field"": ""fraction_query_cells_label_supported_by_reference""}"
Table S1-00006,si,Table S1,"30,920",composition,"{""batch"": ""Oetjen_A"", ""dataset"": ""immune_cell_human"", ""field"": ""n_reference""}"
Table S1-00007,si,Table S1,"2,586",composition,"{""batch"": ""Oetjen_A"", ""dataset"": ""immune_cell_human"", ""field"": ""n_query""}"
Table S1-00008,si,Table S1,16,composition,"{""batch"": ""Oetjen_A"", ""dataset"": ""immune_cell_human"", ""field"": ""n_celltypes_reference""}"
Table S1-00009,si,Table S1,16,composition,"{""batch"": ""Oetjen_A"", ""dataset"": ""immune_cell_human"", ""field"": ""n_celltypes_query""}"
Table S1-00010,si,Table S1,1.0,composition,"{""batch"": ""Oetjen_A"", ""dataset"": ""immune_cell_human"", ""field"": ""fraction_query_cells_label_supported_by_reference""}"
Table S1-00011,si,Table S1,"32,484",composition,"{""batch"": ""Villani"", ""dataset"": ""immune_cell_human"", ""field"": ""n_reference""}"
Table S1-00012,si,Table S1,"1,022",composition,"{""batch"": ""Villani"", ""dataset"": ""immune_cell_human"", ""field"": ""n_query""}"
Table S1-00013,si,Table S1,16,composition,"{""batch"": ""Villani"", ""dataset"": ""immune_cell_human"", ""field"": ""n_celltypes_reference""}"
